Ensemble_ID	NOM_1	NOM_2	OSF_1	OSF_2	OSCC_1	OSCC_2
ENSG00000204478	0	0	0	0	1	0
ENSG00000162494	6	228	471	4	14	42
ENSG00000259961	0	5	0	2	14	6
ENSG00000215909	0	0	0	0	4	2
ENSG00000162493	219	923	458	5300	2415	1371
ENSG00000222952	0	0	0	0	1	0
ENSG00000266358	0	0	0	0	0	2
ENSG00000237445	0	2	0	9	29	26
ENSG00000253085	0	0	0	0	4	0
ENSG00000116731	3613	5236	3932	3543	3091	2392
ENSG00000252151	0	4	0	1	3	2
ENSG00000231606	0	19	9	49	112	17
ENSG00000234593	2	13	4	65	62	21
ENSG00000189337	2644	2437	1655	1042	1513	802
ENSG00000235829	0	1	1	8	25	9
ENSG00000175147	57	50	25	18	31	30
ENSG00000171729	512	967	428	1114	821	540
ENSG00000204464	32	28	7	47	36	14
ENSG00000215720	2	12	7	25	0	5
ENSG00000142621	6	26	40	126	162	72
ENSG00000233485	0	0	0	8	20	4
ENSG00000236045	4	0	0	2	9	5
ENSG00000228140	4	8	16	18	71	11
ENSG00000142634	1724	1626	1544	7847	4089	1714
ENSG00000162438	0	12	0	11	47	23
ENSG00000142615	2	5	6	5	20	5
ENSG00000215704	4	32	9	8	32	8
ENSG00000132906	382	604	360	538	528	167
ENSG00000116138	1287	1715	1551	2069	2188	705
ENSG00000251866	0	2	0	7	11	1
ENSG00000272510	0	2	0	0	3	0
ENSG00000116771	48	86	93	66	217	71
ENSG00000237301	16	10	8	12	45	13
ENSG00000235084	5	7	6	7	18	3
ENSG00000252417	0	0	0	0	2	0
ENSG00000236500	0	0	0	0	1	0
ENSG00000197312	4868	4754	4554	4148	5094	2577
ENSG00000215695	0	0	0	0	0	0
ENSG00000271742	0	5	0	7	24	2
ENSG00000116786	3259	5681	4995	4654	4197	2278
ENSG00000264048	0	0	0	0	0	0
ENSG00000237938	20	14	18	33	25	6
ENSG00000162461	37	146	322	48	66	15
ENSG00000224459	0	3	2	8	5	0
ENSG00000162460	0	6	0	10	15	10
ENSG00000162458	704	1112	1346	9855	9569	5203
ENSG00000224321	0	0	0	5	3	4
ENSG00000233954	283	308	462	749	179	161
ENSG00000178715	0	0	0	16	0	8
ENSG00000179743	142	382	313	177	256	121
ENSG00000065526	5525	6403	4884	10016	6006	3612
ENSG00000238818	1	4	2	1	4	0
ENSG00000270620	4	2	2	9	4	2
ENSG00000116809	949	946	1127	1803	1408	542
ENSG00000234607	6	8	7	19	7	5
ENSG00000231353	0	0	0	0	1	3
ENSG00000224966	0	0	0	6	10	11
ENSG00000183888	20	2	0	9	27	7
ENSG00000233078	0	0	0	0	0	0
ENSG00000173641	165	8162	21372	43	61	36
ENSG00000186510	38	11	40	25	47	34
ENSG00000232456	4	2	1	10	22	5
ENSG00000184908	282	8	4	14	51	20
ENSG00000185519	6	27	15	42	36	16
ENSG00000142627	9104	18148	4630	13198	6181	6488
ENSG00000227959	344	306	135	146	117	44
ENSG00000224621	51	30	8	33	33	18
ENSG00000234166	0	0	0	0	0	0
ENSG00000142632	947	629	413	830	301	223
ENSG00000237276	428	230	261	118	344	139
ENSG00000204377	35	14	18	30	41	10
ENSG00000132881	165	75	119	197	149	63
ENSG00000233929	7	6	5	5	2	1
ENSG00000037637	2253	2185	2002	1707	1902	1067
ENSG00000055070	3249	3870	3724	6071	4993	2877
ENSG00000226457	5	12	8	26	4	9
ENSG00000187144	24	25	5	30	90	52
ENSG00000157191	1407	1553	1127	2377	2082	1171
ENSG00000226029	40	39	36	116	60	47
ENSG00000080947	142	96	158	344	190	50
ENSG00000206652	889	1512	2032	2012	749	2294
ENSG00000261135	0	2	4	3	41	13
ENSG00000224174	0	0	0	0	3	2
ENSG00000233421	32	44	36	4	61	27
ENSG00000268674	0	0	0	2	6	2
ENSG00000225710	0	0	0	0	8	3
ENSG00000266584	0	0	0	0	0	0
ENSG00000219481	2015	832	1900	1970	2247	588
ENSG00000271732	11	2	0	1	21	10
ENSG00000215908	896	384	936	767	693	215
ENSG00000186301	321	134	111	233	201	114
ENSG00000207513	16	31	31	32	15	34
ENSG00000237847	0	0	0	1	4	0
ENSG00000264742	0	0	0	0	2	0
ENSG00000236698	164	405	340	528	808	198
ENSG00000268869	6	9	6	14	82	47
ENSG00000268991	0	0	0	0	1	0
ENSG00000058453	1103	759	607	2266	805	347
ENSG00000207389	101	145	440	527	110	753
ENSG00000227684	0	0	11	10	15	5
ENSG00000186715	105	30	34	57	177	73
ENSG00000223643	0	0	0	0	10	1
ENSG00000230239	0	0	1	2	7	0
ENSG00000263811	0	0	0	0	3	2
ENSG00000228549	14	50	36	17	122	42
ENSG00000238142	19	40	39	2	8	0
ENSG00000235241	0	4	5	0	5	2
ENSG00000207005	19	19	53	197	30	55
ENSG00000272426	8	6	14	0	14	4
ENSG00000117122	63	131	126	1661	772	341
ENSG00000226526	0	2	0	1	11	1
ENSG00000159363	1234	630	834	2953	3529	1136
ENSG00000117118	1127	2487	3303	2186	2533	1145
ENSG00000117115	245	9321	20365	115	175	67
ENSG00000252180	0	0	0	0	4	0
ENSG00000204362	6	0	10	91	98	59
ENSG00000142623	10160	3592	2416	264	281	64
ENSG00000142619	423	152	81	324	531	170
ENSG00000266634	5	1	0	0	3	1
ENSG00000159339	4	58	8	29	62	23
ENSG00000269468	0	2	0	0	6	6
ENSG00000256049	0	1	0	0	28	15
ENSG00000227751	0	0	0	0	0	0
ENSG00000179051	5541	4469	3775	10631	7925	4369
ENSG00000266727	0	0	0	0	0	0
ENSG00000239020	0	0	0	0	1	0
ENSG00000074964	4418	3579	3930	1453	2081	804
ENSG00000236648	0	0	0	0	6	2
ENSG00000117148	0	4	0	4	17	18
ENSG00000261781	0	0	0	4	36	5
ENSG00000117154	6	12	13	20	60	29
ENSG00000230035	0	0	0	4	14	0
ENSG00000225387	0	0	0	0	2	4
ENSG00000179023	100	10	14	15	52	8
ENSG00000235282	0	0	0	0	0	0
ENSG00000225478	0	0	0	0	1	0
ENSG00000009709	2	261	124	24	81	28
ENSG00000179002	0	9	0	0	20	3
ENSG00000255275	0	15	0	7	7	0
ENSG00000159423	968	1993	1683	400	2251	806
ENSG00000265606	0	0	0	0	0	0
ENSG00000221662	0	0	0	0	2	0
ENSG00000169991	1836	16794	3413	9683	13463	8651
ENSG00000272084	20	35	18	48	66	22
ENSG00000127481	11012	11657	11702	19955	11818	7131
ENSG00000266098	6	0	0	10	2	2
ENSG00000230424	4	7	24	16	10	5
ENSG00000127463	1622	1916	1865	5424	2399	1667
ENSG00000053372	1125	1430	1526	2780	3003	1425
ENSG00000211454	9	12	0	16	43	22
ENSG00000162482	30	16	12	29	31	18
ENSG00000270728	22	31	20	40	19	12
ENSG00000053371	1192	1137	1349	1340	1911	757
ENSG00000200403	5	0	2	1	2	2
ENSG00000040487	189	349	290	589	391	131
ENSG00000265192	0	0	0	2	0	0
ENSG00000077549	5731	5680	5146	7549	5571	3969
ENSG00000240490	0	1	6	1	9	3
ENSG00000201609	2	0	0	2	7	0
ENSG00000239027	0	0	0	0	0	0
ENSG00000235185	2	0	1	1	3	4
ENSG00000270136	0	0	1	0	7	1
ENSG00000173436	257	228	403	200	310	146
ENSG00000226396	27	28	23	40	98	10
ENSG00000158747	891	1133	739	1071	775	446
